,query,lat,lon,lat_min,lat_max,lon_min,lon_max
34,Comoros,-12.2045176,44.2832964,-12.621,-11.165,43.025305,44.7451922
35,Congo,-0.7264327,15.6419155,-5.149089,3.713056,11.0048205,18.643611
36,Cook Islands,-16.0492781,-160.3554851,-22.15807,-8.7168792,-166.0856468,-157.1089329
37,Costa Rica,10.2735633,-84.0739102,5.2980534,11.2195684,-87.2951397,-82.5060208
38,Cote d'Ivoire,7.9897371,-5.5679458,4.1621205,10.740197,-8.6014675,-2.493031
39,Cuba,23.0131338,-80.8328748,19.6275294,23.4816972,-85.1679702,-73.9190004
40,Cyprus,34.9823018,33.1451285,34.4383706,35.913252,32.0227581,34.8553182
41,Democratic Republic of Congo,-2.9814344,23.8222636,-13.459035,5.3920026,12.039074,31.3056758
42,Denmark,55.670249,10.3333283,54.4516667,57.9524297,7.7153255,15.5530641
43,Djibouti,11.8145966,42.8453061,10.9149547,12.7923081,41.7713139,43.6579046
